"Sx_Code","Sx_Description","MR4","MR2","MR3","MR1","MR5","MR6","MR7"
"antisocial_cd","Behavioral problems",0.39307705049918,0.129249898122285,0.189759589302774,-0.0645030139156122,0.0726446665726656,-0.0111315856760438,-0.194663585016763
"antisocial1","Irresponsibility (work)",0.316772547280262,-0.0854907840461106,-0.0195023458509189,-0.0178537477810768,0.0483089272854343,-0.0141453376160114,0.332789523812321
"antisocial2","Impulsivity (planning)",0.264075109008239,0.0163272846418597,0.0686685734408765,0.00264760785972768,0.0190569011403092,-0.0524606733314117,0.0193188941930636
"antisocial3","Irresponsibility (financial)",0.371380132300432,0.011454566872323,-0.0244763683533483,0.0935255925477407,0.0744746394759288,-0.0931082883096417,0.187669906444565
"antisocial4","Aggressiveness",0.518583361745815,-0.023074759421721,0.0417222888505075,0.086341018449555,0.158673394539362,-0.0329689244874902,0.0416417136529734
"antisocial5","Deceitfulness",0.348914460260944,-0.0449390339180079,0.268126849295949,-0.0523970743030627,0.0378176915037338,0.151056139356771,0.0474824984970619
"antisocial6","Recklessness",0.608169251038596,0.0127517684871735,-0.0216271897789333,-0.0133693636106905,0.0208285090207296,-0.0464370227487462,-0.0533191473063032
"antisocial7","Illegal behavior",0.768794253054924,-0.0310815828420708,0.020535466944189,-0.0180738378450941,-0.0604148240463443,-0.0474171310088563,0.0156534111062409
"antisocial8","No remorse",0.559564745585727,-0.028000723415833,0.223062781068247,-0.0961359492601549,-0.125831243766317,0.0147336681291969,-0.0124402470106001
"avoidant1","Avoid rejections",0.0704647946575989,0.420728782289164,-0.0643203726857891,-0.217607831060502,-0.0330901229646598,0.173368212498968,0.141476758904281
"avoidant2","Inferiority feelings",-0.0820142220384331,0.663866467209708,0.0438896375751248,0.0505059826949572,0.0394651034256341,0.00189157827428506,0.0426051378306306
"avoidant3","Inadequacy feelings",0.00534446451116552,0.762993820084217,-0.0490593841808525,0.0226225638539233,-0.0468227600050281,-0.13052485997557,-0.00554916464188754
"avoidant4","Relationship restraint",-0.0160995129146013,0.331184400137706,0.00400015714397247,-0.0424437704083817,0.0969976598679171,0.06496028770291,0.0190248970720663
"avoidant5","Avoid intimacy",0.00742920896655341,0.556214275650192,0.0829970337277624,-0.164947513188552,0.0909857090887875,0.174924765491705,-0.0564255939326679
"avoidant6","Fear of criticism and rejection",0.00883317931425664,0.613510462821968,0.071604253394811,0.120190499881118,-0.0365903257394606,0.0877822911062368,-0.0831492421862315
"avoidant7","Avoid interpersonal risk",-0.0423175268780984,0.505635225886975,-0.0783031469561778,0.120358008866384,0.135493866432572,0.0646588634700842,0.012417941968306
"borderline1","Identity disturbance (self-image)",-0.0312747215865605,0.116293074429834,0.116379546028857,0.250919156609229,-0.067886169136398,0.0431228833160023,0.48677095539066
"borderline10","Sexual impulsivity",0.335470915456161,0.00181386921898129,0.00770423552812324,0.358730738841907,0.0391981966112689,0.104965166555581,0.0968270611782763
"borderline11","Identity disturbance (gender)",0.0400696675559825,-0.0227024885782674,0.162304261341481,0.172997752713479,-0.0312041590473824,0.125506572446056,0.0356134070753776
"borderline12","Paranoia/dissociation",0.123354603193838,0.0714622471159266,0.151577370716971,0.316872710051026,-0.0840471078701996,0.135454769186348,0.120052278229027
"borderline13","Impulsivity (self-damaging)",0.607712374095727,0.00379982966234926,-0.147671380157131,0.188428815128408,0.0400649674174685,0.0713214183558083,0.0488909658627764
"borderline14","Self-injuring/suicide",0.263428081133716,0.109143711898945,-0.0999341591980605,0.407271007636308,0.029313437893305,-0.0510683176563626,0.0805679791859212
"borderline2","Identity disturbance (goals)",0.065362345973177,-0.0420582244468315,-0.0320619760516329,0.0617166476001941,0.0675103887414906,-0.00671551808928425,0.620112867656042
"borderline3","Identity disturbance(values)",0.104136291714651,-0.00472546096558966,0.100145377618308,-0.0273001383950763,-0.0431250273879048,0.253818933551764,0.439338231087095
"borderline4","Identity disturbance (friendship)",0.0219512291529276,0.0177236820580801,0.105732845607857,0.23378187718552,-0.123552689020738,0.188963093887366,0.258545712174865
"borderline5","Unstable and intense relationships",0.123599962301562,0.0899699711995632,0.149887987341008,0.530021252278716,0.0995726228806611,0.0712949846632467,0.133076237618309
"borderline6","Chronic emptiness",-0.00732280384806744,0.175805475264563,0.0633032793990176,0.341211679409827,-0.0482203581077335,0.00148816817936576,0.398573458165369
"borderline7","Fear of abandonment",0.0767308683206218,0.0239370081491475,0.0112382246576919,0.411071701423613,0.0684310754239531,0.243897619035685,0.0457267413423797
"borderline8","Affective instability",0.127428807380413,0.0970955534259091,0.0229504989679331,0.508338930019133,0.112423312570888,0.00279534146387647,0.137472253783445
"borderline9","Intense anger",0.34618149864199,0.051825845934274,0.0223879530040274,0.345305738909467,0.130207475193894,0.025312308761195,0.032470444793903
"dependent1","Inability to make decisions on own",-0.0531936999473553,-0.00605594387546243,-0.101923193244354,0.0766905058964929,0.0704384604560724,0.509519301725453,-0.0418213516956557
"dependent2","Gives other responsibility",-0.0386578155236868,-0.0226244552934682,-0.0550389317026851,0.0643744983634573,0.00442346082136525,0.420654817567138,0.186729607855903
"dependent3","Can't initiate tasks",-0.048828409643711,0.0970347987736338,0.0044821017459924,-0.0316001586858674,-0.157385560695021,0.585757004186327,0.0444704816870149
"dependent4","Replaces relationships quickly",0.176210055619431,0.165455091265236,0.106426144482174,0.0904427509339366,0.0794035411799284,0.352319213383917,-0.07782280713775
"dependent5","Always agrees with others",0.0344892691346355,0.178909703874717,-0.0517459188304816,-0.0432038037126745,-0.0780003540158521,0.216329070443702,0.0673122732840422
"dependent8","Fear of being left to care for self",-0.155359554224687,0.0094631130218915,-0.0524539863542552,0.140777141691494,-0.0409751820274115,0.373654299722107,-0.0176190698141824
"histrionic1","suggestible",0.124246633069091,-0.0238870380509407,-0.0846779322855654,0.105394272013894,0.0234596328522206,0.278418492351942,0.0764881198289221
"histrionic2","Desire to be center of attention",-0.0421027728946922,-0.0789627804951224,0.311797136429017,-0.0331707421990191,0.0197656827432059,0.393555840159584,0.0714323147887217
"histrionic3","Uses appearance to attract attention",0.0433957534453368,-0.137012906799538,0.208683934333066,0.204799319410217,0.194465570837769,0.102253809597194,0.0419102697818607
"histrionic4","Thinks other are closer than in reality",0.0329255607028922,-0.00674120846444945,0.0167365572746436,0.273201691375457,0.25697048820646,0.153404774192993,-0.0544689278207225
"histrionic5","self-dramatization",-0.137170568142396,-0.0290778417667643,0.274942694530849,0.330917156400858,0.0747927654888985,0.0513102004390649,0.00940396998906966
"histrionic6","shallow or shifting emotions",0.0165329027947588,-0.0185492872618479,-0.00444770379480436,0.320542375504116,0.240318162271788,0.141710906329396,0.113948120898288
"histrionic7","Provocative or sexualized behavior",0.237977504537832,-0.100461705243255,0.0824856424922453,0.154073373896843,0.150209275666407,0.122133959257171,-0.00630575845025022
"narcissistic1","Requires excessive admiration",0.0372166327652964,-0.0398128850977385,0.564726845999632,-0.0872299729737733,-0.0198654696882712,0.118254684854607,-0.0593526221777932
"narcissistic2","Grandiosity",0.0798385324355865,-0.0859028088173202,0.509161239778339,0.109333040299186,0.0444790027827931,-0.0970592518466011,0.0762356807703243
