"Sx_Code","Sx_Description","MR1","MR2","MR3","MR4"
"antisocial_cd","Behavioral problems",-0.0692019534157368,0.080183940790309,0.172583691975215,0.327972789809166
"antisocial1","Irresponsibility (work)",0.0814047004454689,0.0779201062016621,0.0772028687255896,0.362867120208324
"antisocial2","Impulsivity (planning)",0.0021846912533016,0.0133724151339704,0.0715904022257672,0.267018670229123
"antisocial3","Irresponsibility (financial)",0.121678069710627,0.0621842139867005,0.0110546207261902,0.425371559778311
"antisocial4","Aggressiveness",0.116666516810125,0.0316482495184696,0.102441020572263,0.534242938952436
"antisocial5","Deceitfulness",0.0756740066227826,0.0380002653418769,0.323809879121919,0.27293163467648
"antisocial6","Recklessness",-0.010418554595525,0.00808373081068423,-0.00999263489258222,0.575523461497213
"antisocial7","Illegal behavior",0.013265724016729,-0.0382441347539657,0.0262539145123618,0.710037272896391
"antisocial8","No remorse",-0.0398850609668697,-0.0527398244378966,0.200374434418102,0.462587255732103
"avoidant1","Avoid rejections",-0.0380058845710491,0.530795120928579,-0.0558178491432343,0.00666705878556934
"avoidant2","Inferiority feelings",0.126578933350404,0.569172772825214,-0.0560390592933706,-0.0922064792726487
"avoidant3","Inadequacy feelings",0.0288502609299034,0.566061816344013,-0.199209301853258,0.00230577030614428
"avoidant4","Relationship restraint",0.0322703256366814,0.367924386585982,0.00383147320318183,-0.0310072230136867
"avoidant5","Avoid intimacy",-0.0196004666637224,0.591094217034523,0.0643852361295412,-0.075460739873244
"avoidant6","Fear of criticism and rejection",0.205624628070856,0.447912138664701,-0.0611578203456725,-0.0748963032808332
"avoidant7","Avoid interpersonal risk",0.204196705443012,0.480027526984205,-0.117170696398828,-0.0521602526298277
"borderline1","Identity disturbance (self-image)",0.410780728622373,0.161688079163788,0.106641971834496,0.0122387036072153
"borderline10","Sexual impulsivity",0.47016539857927,-0.0354802156113709,0.000778241513052433,0.294932820363291
"borderline11","Identity disturbance (gender)",0.259788416127465,-0.0591494144498594,0.143091354263851,-0.0181851317259914
"borderline12","Paranoia/dissociation",0.444534111731727,-0.0125039821722764,0.0908089154872584,0.0542346932605645
"borderline13","Impulsivity (self-damaging)",0.277125677626698,0.0214557121256422,-0.120910308140013,0.561610123428822
"borderline14","Self-injuring/suicide",0.424256246421034,-0.00224400076591511,-0.157546170306319,0.278915914478211
"borderline2","Identity disturbance (goals)",0.225594670167203,0.191163581644075,0.0910938922764546,0.17382329406148
"borderline3","Identity disturbance(values)",0.242052601953646,0.206785592083991,0.191185956282411,0.0661215267220277
"borderline4","Identity disturbance (friendship)",0.413022715967753,0.0211022631161003,0.0824023659797646,-0.037862264019693
"borderline5","Unstable and intense relationships",0.627900351104325,-0.00429188269652825,0.109828537419246,0.114645679960348
"borderline6","Chronic emptiness",0.460177046155651,0.153250818705882,0.0213963082618476,0.035965801292348
"borderline7","Fear of abandonment",0.570421784142728,-0.00685965108916856,0.00816657513352402,-0.00118088328966215
"borderline8","Affective instability",0.563312880972689,0.00974119738969009,-0.0111485944465204,0.152070351155149
"borderline9","Intense anger",0.399363176904582,0.00609022374369187,0.0208183316131195,0.338284096285906
"dependent1","Inability to make decisions on own",0.323726411946493,0.135069110894924,-0.00855217289988801,-0.205878673770287
"dependent2","Gives other responsibility",0.332749855953481,0.150283488174055,0.0362819691006536,-0.143619446341674
"dependent3","Can't initiate tasks",0.288904941462126,0.203018810893819,0.0323834263167683,-0.260119304658579
"dependent4","Replaces relationships quickly",0.294333776273301,0.20937261962809,0.134846885201331,0.0272455921772267
"dependent5","Always agrees with others",0.111040831785142,0.226434399195937,-0.0541682905200784,-0.0546599752881697
"dependent8","Fear of being left to care for self",0.324724346978687,0.0423211813660029,-0.0385553696416736,-0.283125157327686
"histrionic1","suggestible",0.279223433489665,0.0700831267375382,-0.0240879607592639,0.03919575037538
"histrionic2","Desire to be center of attention",0.204512320765959,0.0590295419155535,0.385380259221525,-0.171027145439841
"histrionic3","Uses appearance to attract attention",0.274128013537971,-0.0807291037603106,0.281625528701575,0.0419161224054295
"histrionic4","Thinks other are closer than in reality",0.344771372422345,0.0326271077730048,0.0825613840429336,0.0163650041149368
"histrionic5","self-dramatization",0.361441001192068,-0.118040162083144,0.241853597836565,-0.146100486722677
"histrionic6","shallow or shifting emotions",0.429547177576873,0.0590321030354076,0.0734065294077345,0.0316809844864335
"histrionic7","Provocative or sexualized behavior",0.231788716597568,-0.0463204641736881,0.149528946292511,0.20491107716929
"narcissistic1","Requires excessive admiration",-0.0125030646250193,-0.0525936843259201,0.551270076254061,-0.0488231521109715
"narcissistic2","Grandiosity",0.0974272386788772,-0.137604514342518,0.489947652302219,0.105457749040531
"narcissistic3","Fantasies",0.0789136008726761,0.0872551574063416,0.48767201329259,-0.0893539395220247
"narcissistic4","Feelings of uniqueness",0.009890902320247,0.0345788310446806,0.485823247740794,0.0910803657919379
"narcissistic5","Lacks empathy ",-0.100032918694906,0.0419727254182681,0.374827476182586,0.217405382603034
"narcissistic6","sense of entitlement ",-0.0218678121685972,-0.0478268996138955,0.546767248968387,0.0363544385261484
"narcissistic7","Exploitative",0.00158457978406096,0.066711701502294,0.426222127505497,0.165560840118288
"narcissistic8","Envious of others/perceives others as envious",0.204370364001375,-0.0474754628085914,0.397607069941215,-0.149400887706503
"narcissistic9","Arrogant, haughty",0.00125176893456008,-0.125584952197291,0.484613023077005,0.0388853396123257
"oc3","Preoccupied with details",-0.013849899781547,0.187395471267034,0.099379978310259,0.0566997172391812
"oc4","Hoarding",0.190752567851434,0.234100611735023,0.0953167010937227,-0.0648759143924301
"oc7","Can't delegate tasks",0.0713158391695907,0.0952300941118723,0.168671311398925,0.0886147664527638
"oc8","Rigid and stubborn",-0.00683110428666125,0.245813484159677,0.133494375595111,0.207049724532456
"paranoid1","Reluctant to confide due to fear of maliciousness",-0.0211871666561503,0.347359855244963,0.200875766093072,0.0420848480593922
"paranoid2","Unjustified doubt in loyalty and trust",0.135801937186568,0.331490835174535,0.180881864696224,0.0843861830950901
"paranoid3","Persistent grudges",0.133423011821087,0.119695508227532,0.285766044229424,0.100547394930256
"paranoid4","Perceives attacks on character",0.22721671016488,0.124396719261846,0.219472306207388,-0.0600598420260288
"paranoid5","Perceives hidden threatening ",0.103950295016575,0.244533428539294,0.343834684998783,0.0301425609908232
"paranoid6","suspects harm, exploitation, and deceit",0.279541649525177,0.18630612830753,0.244339142753108,-0.00509043805983048
"paranoid7","suspects infidelity",0.0938608112639382,0.138212146086508,0.150422810071902,0.126397690152441
"schizoid1","No close friends",-0.181277065718523,0.386071552697953,0.109938482669688,0.166242229171598
"schizoid2","No desire for relationships",-0.0888300394934956,0.382982181931141,0.258713837998917,0.0382674268173753
"schizoid3","Almost always solitary",-0.203444890230774,0.509480542870106,0.0139915752682024,0.153792857617156
"schizoid6","No interest in sexual activity",0.0473214365549658,0.29873168864421,-0.0536321780118724,-0.0413303791912068
"schizotypal1","Social anxiety",-0.130295545073532,0.495913709649136,0.0835241686811951,0.078746025026675
"schizotypal2","Ideas of reference",0.20457382501191,0.312395648173962,-0.0365855166115715,0.0155139050306621
