"Sx_Code","Sx_Description","MR4","MR1","MR2","MR3","MR5","MR6"
"antisocial_cd","Behavioral problems",0.327360789145739,-0.045464412867974,0.123041433092965,0.207418671133107,0.0158995364403564,-0.116201635681969
"antisocial1","Irresponsibility (work)",0.384592345641764,0.0197746693198842,-0.0815317127424128,-0.0325117722195223,0.157080187791312,0.135063885363193
"antisocial2","Impulsivity (planning)",0.26701925577303,0.0107033825819322,0.0130359445541106,0.0694900011353339,0.0225636163133133,-0.0405143683605818
"antisocial3","Irresponsibility (financial)",0.408763182162286,0.121080985768952,0.00946230788606956,-0.0316854082546535,0.115545569277252,-0.0163650040446527
"antisocial4","Aggressiveness",0.503524870398552,0.134457825692524,-0.0260345762780204,0.0479837930437513,0.151645783146459,-0.0547113238765956
"antisocial5","Deceitfulness",0.328969707283158,-0.00580134964743876,-0.0400555879224674,0.275008950439849,0.0647515097884668,0.145784707188169
"antisocial6","Recklessness",0.578571851324984,0.0106652414563067,0.0106598397493055,-0.00497435624432872,-0.00103631751002956,-0.0810317119255284
"antisocial7","Illegal behavior",0.759252539890859,0.00520114805272734,-0.0308225160504679,0.0347057706596077,-0.0587552347905388,-0.0334973985846051
"antisocial8","No remorse",0.549268248376606,-0.0879228267376502,-0.0278980129488328,0.232540555969421,-0.113981744177034,0.0362470353582845
"avoidant1","Avoid rejections",0.0907338719144511,-0.190546640490639,0.424265662050216,-0.0653605690755173,0.0534760639507125,0.239445303802122
"avoidant2","Inferiority feelings",-0.0761824030561077,0.0606638800310347,0.668467590963643,0.0446716799827968,0.0431472825455242,0.00547113945832395
"avoidant3","Inadequacy feelings",0.0207790366083423,0.00233631552888154,0.764748253722326,-0.0459384014310088,-0.058123475168461,-0.116578920515193
"avoidant4","Relationship restraint",-0.0253545457988676,-0.0184741094441466,0.330192501263017,0.00517826537798659,0.111114866999999,0.0488126110826154
"avoidant5","Avoid intimacy",-0.0309476887740364,-0.128566975266994,0.552167547087276,0.0923506144597608,0.104162528643554,0.115781867241552
"avoidant6","Fear of criticism and rejection",-0.0283489590376697,0.133575806869379,0.616004452557659,0.0814427477554178,-0.0800838444849369,0.0289032139950755
"avoidant7","Avoid interpersonal risk",-0.062529632301075,0.156143069902791,0.505086425133926,-0.0764739633887668,0.120180593017029,0.0216479382426208
"borderline1","Identity disturbance (self-image)",0.0776384532401033,0.273192142278171,0.124086363937585,0.0847533392713138,0.0615102305355881,0.260760633131709
"borderline10","Sexual impulsivity",0.31731374854161,0.416466111822138,0.00282835820216664,0.00715206709982625,0.015205731770872,0.0984373447803688
"borderline11","Identity disturbance (gender)",0.0259342962437237,0.197485603957483,-0.0195062776991929,0.161383011474575,-0.0420780819995626,0.122576002466423
"borderline12","Paranoia/dissociation",0.123341175761224,0.350246830815876,0.0767281285034275,0.146466736867804,-0.0898386022195413,0.170564595770044
"borderline13","Impulsivity (self-damaging)",0.578723387152759,0.246020470319063,0.00460379565587452,-0.135116284403527,0.0226563188326838,0.0484312643256143
"borderline14","Self-injuring/suicide",0.262384124246865,0.436986973842069,0.1074005899642,-0.103393078667366,-0.0125320843574329,-0.0470996536461108
"borderline2","Identity disturbance (goals)",0.199462296837292,0.111363662168329,-0.0206363356662176,-0.0533761347239374,0.245053819766873,0.255815693712302
"borderline3","Identity disturbance(values)",0.176301816061445,0.0357560022793946,0.00812254177674832,0.0807172882752875,0.114703108291146,0.437514856398184
"borderline4","Identity disturbance (friendship)",0.057517914031629,0.267676567229802,0.0240056039364753,0.08979746500462,-0.0643568309479612,0.300196153050679
"borderline5","Unstable and intense relationships",0.113495234618412,0.58755693518622,0.0910496097576952,0.140772970047256,0.061482225135574,0.0673913726488311
"borderline6","Chronic emptiness",0.0792152152050308,0.357341696389034,0.178518208009251,0.038591965782747,0.0354644611345983,0.177414736739878
