"Sx_Code","Sx_Description","MR1","MR2","MR4","MR3","MR5"
"antisocial_cd","Behavioral problems",-0.0746215390373015,0.0724474713294474,0.33965881940795,0.162815316971708,0.0472413595798889
"antisocial1","Irresponsibility (work)",0.0840499955210895,0.0514247598877408,0.348503476429931,0.0474316817903712,0.0951897908087336
"antisocial2","Impulsivity (planning)",0.0026882618513491,0.00801113521939119,0.268976266139715,0.0620408704094642,0.029961436787598
"antisocial3","Irresponsibility (financial)",0.126957182948553,0.0284812257433898,0.399998539533291,-0.0268565438631501,0.11310609574288
"antisocial4","Aggressiveness",0.124967301555878,-0.020118490094802,0.498681555081739,0.044767436228421,0.163040308586089
"antisocial5","Deceitfulness",0.0618766866914628,0.0503842579128728,0.304612401908725,0.331482947941118,0.0193487111655272
"antisocial6","Recklessness",-0.00535402732781687,0.00898781718565612,0.580128575146483,-0.0171514539306456,0.0176304258428298
"antisocial7","Illegal behavior",0.0116568927000086,-0.00560203314121976,0.753459757821098,0.0416204555370273,-0.0514587950761628
"antisocial8","No remorse",-0.058216038820707,0.0116687545696369,0.542745732336995,0.25521369614098,-0.126806857025718
"avoidant1","Avoid rejections",-0.0662359865184962,0.576493429592814,0.0601538624420389,-0.00473376951622911,-0.0507909076250115
"avoidant2","Inferiority feelings",0.101292874952541,0.574532639786521,-0.0694966101241232,-0.0365658336853023,0.0465361130335939
"avoidant3","Inadequacy feelings",0.00740436901103606,0.59000656115579,0.0335560727199064,-0.164014287237279,-0.0120388626613677
"avoidant4","Relationship restraint",0.0203612997597839,0.348157105390912,-0.0315879306403264,-0.00488398916450054,0.0820260669739513
"avoidant5","Avoid intimacy",-0.0491121223204498,0.597893596376545,-0.0416564104955764,0.0855836839240604,0.0472082271006452
"avoidant6","Fear of criticism and rejection",0.17734872952076,0.498146505609411,-0.0242205541756934,-0.00670194272087354,-0.0574994308404871
"avoidant7","Avoid interpersonal risk",0.189742097888543,0.453700236934427,-0.063502665986134,-0.130474137895554,0.113912207508048
"borderline1","Identity disturbance (self-image)",0.390928965051732,0.189459452476171,0.0394105334776827,0.130178923812148,-0.000783430152081557
"borderline10","Sexual impulsivity",0.465776181071936,-0.0210767120544096,0.296355179730542,0.00241115595496964,0.0185664543608223
"borderline11","Identity disturbance (gender)",0.247258367374615,-0.0228168443849649,0.0122653116307085,0.171494246844543,-0.0541740340118815
"borderline12","Paranoia/dissociation",0.427189386913136,0.0511050679564717,0.102379288627915,0.142993183740936,-0.0994479072481845
"borderline13","Impulsivity (self-damaging)",0.281566482892328,0.0292784192829488,0.558051739442517,-0.124145262800419,0.0191171851875498
"borderline14","Self-injuring/suicide",0.427430940810262,-0.00261092433517415,0.261134818041021,-0.167588801035302,0.0378484283405262
"borderline2","Identity disturbance (goals)",0.221273015527742,0.15122928282716,0.150266603993023,0.0524272127337237,0.146411716164553
"borderline3","Identity disturbance(values)",0.220375593988556,0.241970244075619,0.10910496345579,0.224695590871711,-0.0210802802551745
"borderline4","Identity disturbance (friendship)",0.393233647290326,0.0946739731648449,0.0184442828676294,0.146710197316946,-0.126721559379618
"borderline5","Unstable and intense relationships",0.618484475277411,-0.0119348517046918,0.102233920799198,0.0905487299878625,0.09188277725389
"borderline6","Chronic emptiness",0.442584978236109,0.176362712397375,0.0530642585460709,0.0397937863766179,0.00923148920309286
"borderline7","Fear of abandonment",0.558640696684465,0.0128950487922733,0.00301381691312261,0.0178112081146178,0.0100905964164302
"borderline8","Affective instability",0.563107561468136,-0.0155404050132392,0.121138028458151,-0.045544920401525,0.117612483030016
"borderline9","Intense anger",0.400888262875612,-0.0210536002187226,0.311107887577963,-0.0159436615330404,0.117345595512117
"dependent1","Inability to make decisions on own",0.306766703394273,0.167271097575142,-0.18214595371447,0.0241152512558475,-0.0399399649145524
"dependent2","Gives other responsibility",0.312810785735387,0.192146845427958,-0.109916734136086,0.0768561320085074,-0.0529085973399305
"dependent3","Can't initiate tasks",0.258411902818179,0.326688537126792,-0.16628020008876,0.152636757227622,-0.244498215031332
"dependent4","Replaces relationships quickly",0.272787725981576,0.238195247400332,0.0616823208232662,0.162096531765282,-0.00610036143534545
"dependent5","Always agrees with others",0.0915872914648662,0.286266998296442,-0.00371350077395208,0.00623338412973037,-0.111351770060066
"dependent8","Fear of being left to care for self",0.306644941118976,0.102797921774389,-0.243271375733796,0.0195375410989189,-0.119106778675439
"histrionic1","suggestible",0.270963312690686,0.0943158722687891,0.0537388634956254,-0.00310917901717945,-0.0255382513097246
"histrionic2","Desire to be center of attention",0.178810862495336,0.0985389097327217,-0.119848042391022,0.425046335195831,-0.0430022673589074
"histrionic3","Uses appearance to attract attention",0.276500723079317,-0.137501841716875,0.00368907971288322,0.221621451354221,0.17307292013854
"histrionic4","Thinks other are closer than in reality",0.352050793648661,-0.0366937453465342,-0.0409809072036681,0.0129238590210965,0.202897224160938
"histrionic5","self-dramatization",0.353135060028178,-0.128218916743642,-0.152113217395072,0.224551641710549,0.0626163811752441
"histrionic6","shallow or shifting emotions",0.43665090594281,-0.0104258756514545,-0.02676572048894,0.00162229479089153,0.213413493944824
"histrionic7","Provocative or sexualized behavior",0.234328384292951,-0.0797766217393703,0.181082700026318,0.109363026629036,0.11477644861388
"narcissistic1","Requires excessive admiration",-0.0397778422026739,-0.0181680181047975,0.0087715084628549,0.590631258253856,-0.0427260325253845
"narcissistic2","Grandiosity",0.0874775963433197,-0.152693941749896,0.114617516151748,0.466806543814148,0.0788839876205675
"narcissistic3","Fantasies",0.0544732062454611,0.0936164131266864,-0.0530261599507919,0.495195208214422,0.0398672187331454
"narcissistic4","Feelings of uniqueness",-0.00700207412480581,0.0270360024688014,0.116003513574099,0.477451314152671,0.0663085636184642
"narcissistic5","Lacks empathy ",-0.0939000325089966,-0.0649913221369708,0.158844031680592,0.272839673193414,0.284854561995268
"narcissistic6","sense of entitlement ",-0.0326079084499529,-0.087837255987497,0.0362402166340576,0.503255692219284,0.137477311526462
"narcissistic7","Exploitative",-0.00326976973974083,0.00826491903070714,0.146871999840188,0.368070002437788,0.184683514745164
"narcissistic8","Envious of others/perceives others as envious",0.182654516096777,-0.0274305817353223,-0.115421310906588,0.412547780200958,-0.00057179614129399
"narcissistic9","Arrogant, haughty",-0.0217963002794434,-0.081477981590715,0.0994172288395419,0.529775121007483,-0.0752182718845333
"oc3","Preoccupied with details",-0.0118917083835722,0.108893238147219,0.00722172868822151,0.0289858687624401,0.213949852340686
"oc4","Hoarding",0.187676708501873,0.167510398803788,-0.108769568768305,0.0360959828785947,0.203084148461981
"oc7","Can't delegate tasks",0.0923987366807199,-0.103515333991687,-0.059515198339724,-0.0153836768725789,0.510014777427517
"oc8","Rigid and stubborn",0.00367271341856926,0.0615900769425357,0.0795470379629495,-0.0437989502371188,0.499219207842209
"paranoid1","Reluctant to confide due to fear of maliciousness",-0.0177456772070141,0.170473019045007,-0.0824941208140749,0.0379776709330435,0.493738295853039
"paranoid2","Unjustified doubt in loyalty and trust",0.14062574017227,0.182854345975981,-0.0175561769356982,0.0416105723552775,0.426293789914085
"paranoid3","Persistent grudges",0.142937278997497,-0.0425724729613613,-0.0117291468248879,0.136568373960923,0.439882313018128
"paranoid4","Perceives attacks on character",0.212857922887135,0.111771911870863,-0.0564171209823083,0.206677522873107,0.0803747829509191
"paranoid5","Perceives hidden threatening ",0.0962145032354977,0.156099831630752,-0.0127516843851731,0.263101006405553,0.27209160949476
"paranoid6","suspects harm, exploitation, and deceit",0.271597086948358,0.125527425556498,-0.0378560415959884,0.186793551146669,0.206424873268828
"paranoid7","suspects infidelity",0.0937236606964383,0.0757387845166727,0.08963038176941,0.0915322446732367,0.185711252690717
"schizoid1","No close friends",-0.177951930019781,0.286738863867053,0.11301308847457,0.0252706516108988,0.265989722988605
"schizoid2","No desire for relationships",-0.0911587492162636,0.278760455187806,-0.0123770838778622,0.169650207657832,0.292014935592116
"schizoid3","Almost always solitary",-0.218387152200743,0.497771292694816,0.171942467231455,0.0150560932371509,0.0651907711410649
"schizoid6","No interest in sexual activity",0.0326638800026074,0.319287249181406,-0.0161241210814701,-0.0266837522751674,-0.0211296604650345
"schizotypal1","Social anxiety",-0.138368834053372,0.442514178602303,0.0661401689662122,0.0468152688162066,0.162693646144037
"schizotypal2","Ideas of reference",0.193762582381227,0.301135937279794,0.0140931981374021,-0.0415576158622884,0.0699344945831579
