"Sx_Code","Sx_Description","MR2","MR1","MR3"
"antisocial_cd","Behavioral problems",-0.0343144588471514,0.27578530073768,0.110972940048017
"antisocial1","Irresponsibility (work)",0.0265581632219722,0.393450794478359,0.0503900513085711
"antisocial2","Impulsivity (planning)",-0.0476557140551617,0.262176835583914,0.0392826781189028
"antisocial3","Irresponsibility (financial)",0.0225248156728682,0.481130718050131,-0.0126257451306082
"antisocial4","Aggressiveness",-0.0387486094281831,0.579464781721501,0.0674829344728151
"antisocial5","Deceitfulness",-0.0183225593088588,0.284632589278056,0.308965395585336
"antisocial6","Recklessness",-0.110525465729124,0.563921183629208,-0.0799644790686662
"antisocial7","Illegal behavior",-0.173514777663207,0.703254405817465,-0.048389717103534
"antisocial8","No remorse",-0.177524439428741,0.425878863139907,0.138365554959688
"avoidant1","Avoid rejections",0.487398511121543,-0.027302987631316,-0.0942754523838823
"avoidant2","Inferiority feelings",0.618608219329547,-0.0504811196610162,-0.0420857224643674
"avoidant3","Inadequacy feelings",0.567576618525836,0.00697651956173465,-0.222075679571711
"avoidant4","Relationship restraint",0.368730336904862,-0.0292065775153537,-0.00489906605163083
"avoidant5","Avoid intimacy",0.556889282349242,-0.109581582967934,0.0361000839337194
"avoidant6","Fear of criticism and rejection",0.534573956480304,0.00943644592395007,-0.0216246106745112
"avoidant7","Avoid interpersonal risk",0.565267676673791,0.0354366014996269,-0.0841718902835474
"borderline1","Identity disturbance (self-image)",0.311304402147469,0.196081811600784,0.206158712711262
"borderline10","Sexual impulsivity",0.10294902038058,0.517929322778105,0.0941216902795685
"borderline11","Identity disturbance (gender)",0.041747500632463,0.0986226676574394,0.218732235215137
"borderline12","Paranoia/dissociation",0.153493480166383,0.259242615479867,0.204687822956643
"borderline13","Impulsivity (self-damaging)",0.0336673752736648,0.705173488164752,-0.119362027428809
"borderline14","Self-injuring/suicide",0.133681040187054,0.488098242665281,-0.0748662048051603
"borderline2","Identity disturbance (goals)",0.2315361774913,0.27056537064841,0.118346589464639
"borderline3","Identity disturbance(values)",0.265701380132848,0.161983281003659,0.236777874493981
"borderline4","Identity disturbance (friendship)",0.191195834856685,0.153087597610659,0.196178727612985
"borderline5","Unstable and intense relationships",0.222854951246112,0.401962462278852,0.264373012117464
"borderline6","Chronic emptiness",0.326869278381722,0.247963123014967,0.132651773302015
"borderline7","Fear of abandonment",0.228326128624207,0.267986571560592,0.161245355931078
"borderline8","Affective instability",0.213323574490192,0.416277692505622,0.122746631078214
"borderline9","Intense anger",0.10190367056496,0.527450388752888,0.0863928366857339
"dependent1","Inability to make decisions on own",0.304045962632231,-0.0526035569149587,0.0941129127671522
"dependent2","Gives other responsibility",0.305735284810429,0.00970820769728286,0.133433482198168
"dependent3","Can't initiate tasks",0.361179463356801,-0.129983604217475,0.130085818080867
"dependent4","Replaces relationships quickly",0.303431116128483,0.150468415890089,0.200166449783058
